empresa;oper_logo
CLARO;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/oper/claro.png
VIVO;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/oper/vivo.png
OI;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/oper/logo-oi-verde.svg
EB FIBRA;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/oper/logo_alloha.png
BRISANET;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/oper/Brisanet.png
DESKTOP;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/oper/desktop.png
VERO;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/oper/vero.jpg
TIM;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/oper/tim.png
ALGAR (CTBC TELECOM);https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/oper/algar.png
UNIFIQUE;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/oper/unifique.png
